id,name,lat,lon
353,"43.88,  1.88",43.875,1.875
354,"44.38,  1.88",44.375,1.875
355,"44.88,  1.88",44.875,1.875
356,"45.38,  1.88",45.375,1.875
357,"45.88,  1.88",45.875,1.875
358,"46.38,  1.88",46.375,1.875
359,"46.88,  1.88",46.875,1.875
360,"47.38,  1.88",47.375,1.875
361,"47.88,  1.88",47.875,1.875
362,"48.38,  1.88",48.375,1.875
363,"48.88,  1.88",48.875,1.875
364,"49.38,  1.88",49.375,1.875
365,"49.88,  1.88",49.875,1.875
366,"50.38,  1.88",50.375,1.875
367,"50.88,  1.88",50.875,1.875
376,"42.88,  2.38",42.875,2.375
377,"43.38,  2.38",43.375,2.375
378,"43.88,  2.38",43.875,2.375
379,"44.38,  2.38",44.375,2.375
380,"44.88,  2.38",44.875,2.375
381,"45.38,  2.38",45.375,2.375
382,"45.88,  2.38",45.875,2.375
383,"46.38,  2.38",46.375,2.375
384,"46.88,  2.38",46.875,2.375
385,"47.38,  2.38",47.375,2.375
386,"47.88,  2.38",47.875,2.375
387,"48.38,  2.38",48.375,2.375
388,"48.88,  2.38",48.875,2.375
389,"49.38,  2.38",49.375,2.375
390,"49.88,  2.38",49.875,2.375
391,"50.38,  2.38",50.375,2.375
392,"50.88,  2.38",50.875,2.375
393,"51.38,  2.38",51.375,2.375
401,"42.88,  2.88",42.875,2.875
402,"43.38,  2.88",43.375,2.875
403,"43.88,  2.88",43.875,2.875
404,"44.38,  2.88",44.375,2.875
405,"44.88,  2.88",44.875,2.875
406,"45.38,  2.88",45.375,2.875
407,"45.88,  2.88",45.875,2.875
408,"46.38,  2.88",46.375,2.875
409,"46.88,  2.88",46.875,2.875
410,"47.38,  2.88",47.375,2.875
411,"47.88,  2.88",47.875,2.875
412,"48.38,  2.88",48.375,2.875
413,"48.88,  2.88",48.875,2.875
414,"49.38,  2.88",49.375,2.875
415,"49.88,  2.88",49.875,2.875
416,"50.38,  2.88",50.375,2.875
417,"50.88,  2.88",50.875,2.875
418,"51.38,  2.88",51.375,2.875
