"Tint","oper_mod","Hint","class","mtrf","nEcho","mean_dir","sd_dir_Mardia72","sd_dir_Batschelet84","med_dir","meanSpeed","sdSpeed","medSpeed","nFlightBehav","is_night","sunset_date","tstepS","RecS","RainS","RecH","tstepH","mtr"
2016-09-01 09:00:00,"M",1000,"bird",15.675818854766,4,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160901",3600,840,7,0.233333333333333,1,67.1820808061402
2016-09-01 09:00:00,"S",1000,"bird",85.679812101605,4,184.865,11.1027096162139,11.0507992110604,184.865,6.554455,4.23741516800632,6.554455,2,0,"20160901",3600,1680,10,0.466666666666667,1,183.599597360582
2016-09-01 10:00:00,"L",1000,"bird",5.58837394715994,1,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160901",3600,840,10,0.233333333333333,1,23.9501740592569
2016-09-01 10:00:00,"M",1000,"bird",13.8217184434152,3,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160901",3600,840,0,0.233333333333333,1,59.2359361860652
2016-09-01 10:00:00,"S",1000,"bird",88.8211598223804,4,279.407,0,0,279.407,24.1616,NA,24.1616,1,0,"20160901",3600,1680,9,0.466666666666667,1,190.331056762244
2016-09-01 11:00:00,"L",1000,"bird",5.76156250545485,2,NA,NA,NA,NA,NA,NA,NA,0,0,"20160901",3600,840,0,0.233333333333333,1,24.6924107376636
2016-09-01 11:00:00,"M",1000,"bird",7.34748890923449,1,NA,NA,NA,NA,NA,NA,NA,0,0,"20160901",3600,840,0,0.233333333333333,1,31.4892381824335
2016-09-01 11:00:00,"S",1000,"bird",49.9443834239315,3,NA,NA,NA,NA,NA,NA,NA,0,0,"20160901",3600,1680,0,0.466666666666667,1,107.023678765567
2016-09-01 12:00:00,"L",1000,"bird",0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160901",3600,840,0,0.233333333333333,1,0
2016-09-01 12:00:00,"M",1000,"bird",15.5479923062666,5,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160901",3600,840,9,0.233333333333333,1,66.6342527411427
2016-09-01 12:00:00,"S",1000,"bird",26.2324051105691,1,227.438,0,0,227.438,2.92739,NA,2.92739,1,0,"20160901",3600,1680,0,0.466666666666667,1,56.2122966655052
2016-09-01 13:00:00,"L",1000,"bird",0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160901",3600,840,12,0.233333333333333,1,0
2016-09-01 13:00:00,"M",1000,"bird",4.8970983080624,1,NA,NA,NA,NA,NA,NA,NA,0,0,"20160901",3600,840,0,0.233333333333333,1,20.9875641774103
2016-09-01 13:00:00,"S",1000,"bird",5.46612135026748,1,NA,NA,NA,NA,NA,NA,NA,0,0,"20160901",3600,1680,9,0.466666666666667,1,11.7131171791446
2016-09-01 14:00:00,"L",1000,"bird",0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160901",3600,840,12,0.233333333333333,1,0
2016-09-01 14:00:00,"M",1000,"bird",3.57738101339383,1,NA,NA,NA,NA,NA,NA,NA,0,0,"20160901",3600,840,9,0.233333333333333,1,15.331632914545
2016-09-01 14:00:00,"S",1000,"bird",23.4082712685087,3,NA,NA,NA,NA,NA,NA,NA,0,0,"20160901",3600,1680,10,0.466666666666667,1,50.1605812896615
2016-09-01 15:00:00,"L",1000,"bird",0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160901",3600,840,0,0.233333333333333,1,0
2016-09-01 15:00:00,"M",1000,"bird",33.0064559833138,5,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160901",3600,840,0,0.233333333333333,1,141.456239928488
2016-09-01 15:00:00,"S",1000,"bird",207.138552305856,17,293.656345602232,102.423802094426,72.3680797624717,294.443,7.3170275,1.04750336369786,7.638655,4,0,"20160901",3600,1680,0,0.466666666666667,1,443.868326369692
2016-09-01 16:00:00,"L",1000,"bird",3.37863762376084,1,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160901",3600,840,14,0.233333333333333,1,14.4798755304036
2016-09-01 16:00:00,"M",1000,"bird",52.8381456059331,8,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160901",3600,840,0,0.233333333333333,1,226.449195453999
2016-09-01 16:00:00,"S",1000,"bird",230.530890038866,21,20.0788480666429,77.8548328749193,62.9082748843284,23.45195,11.854023,5.89163796952568,9.72657,10,0,"20160901",3600,1680,7,0.466666666666667,1,493.994764368999
2016-09-01 17:00:00,"L",1000,"bird",12.5457694705816,2,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160901",3600,840,0,0.233333333333333,1,53.7675834453499
2016-09-01 17:00:00,"M",1000,"bird",8.1323367728686,2,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160901",3600,840,7,0.233333333333333,1,34.8528718837226
2016-09-01 17:00:00,"S",1000,"bird",159.173094478984,9,70.81795,6.26448878916249,6.25513944811301,70.81795,8.580715,4.42547728753069,8.580715,2,0,"20160901",3600,1680,10,0.466666666666667,1,341.085202454966
2016-09-01 18:00:00,"L",1000,"bird",0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160901",3600,838,0,0.232777777777778,1,0
2016-09-01 18:00:00,"M",1000,"bird",26.2692688857008,4,NA,NA,NA,NA,NA,NA,NA,0,0,"20160901",3600,840,0,0.233333333333333,1,112.582580938718
2016-09-01 18:00:00,"S",1000,"bird",330.748244425139,34,NA,NA,NA,NA,NA,NA,NA,0,0,"20160901",3600,1682,6,0.467222222222222,1,707.903495796969
2016-09-01 19:00:00,"L",1000,"bird",19.0654623039282,5,NA,NA,NA,NA,NA,NA,NA,NA,1,"20160901",3600,840,8,0.233333333333333,1,81.7091241596924
2016-09-01 19:00:00,"M",1000,"bird",175.134486302244,38,NA,NA,NA,NA,NA,NA,NA,NA,1,"20160901",3600,840,10,0.233333333333333,1,750.576369866758
2016-09-01 19:00:00,"S",1000,"bird",548.525985579727,78,221.440959563158,76.1476363430947,62.0555467732925,216.164,13.3365247368421,6.36858497181662,12.3523,19,1,"20160901",3600,1680,10,0.466666666666667,1,1175.41282624227
2016-09-01 20:00:00,"L",1000,"bird",41.8665274381472,11,NA,NA,NA,NA,NA,NA,NA,NA,1,"20160901",3600,840,0,0.233333333333333,1,179.427974734917
2016-09-01 20:00:00,"M",1000,"bird",228.850196946547,47,NA,NA,NA,NA,NA,NA,NA,NA,1,"20160901",3600,840,0,0.233333333333333,1,980.786558342342
2016-09-01 20:00:00,"S",1000,"bird",402.034815819018,73,232.920743227405,76.5362083966263,62.251998796746,224.505,16.4239438095238,7.68123717175266,15.0978,21,1,"20160901",3600,1680,10,0.466666666666667,1,861.503176755039
2016-09-01 21:00:00,"L",1000,"bird",24.3480739724196,7,NA,NA,NA,NA,NA,NA,NA,NA,1,"20160901",3600,840,11,0.233333333333333,1,104.348888453227
2016-09-01 21:00:00,"M",1000,"bird",125.857629278412,26,NA,NA,NA,NA,NA,NA,NA,NA,1,"20160901",3600,840,0,0.233333333333333,1,539.389839764624
2016-09-01 21:00:00,"S",1000,"bird",445.375953073966,82,223.465360603187,56.2075788390647,50.0773691732289,218.0655,13.146505,6.53596380554498,12.25185,26,1,"20160901",3600,1680,8,0.466666666666667,1,954.377042301357
2016-09-01 22:00:00,"L",1000,"bird",80.9100034165392,19,NA,NA,NA,NA,NA,NA,NA,NA,1,"20160901",3600,840,0,0.233333333333333,1,346.757157499454
2016-09-01 22:00:00,"M",1000,"bird",220.319950015265,52,NA,NA,NA,NA,NA,NA,NA,NA,1,"20160901",3600,840,10,0.233333333333333,1,944.228357208278
2016-09-01 22:00:00,"S",1000,"bird",415.629568145984,83,228.46084321487,53.149266417728,47.913284312773,230.5245,18.5121204545455,11.4038184693296,15.6312,22,1,"20160901",3600,1680,0,0.466666666666667,1,890.63478888425
2016-09-01 23:00:00,"L",1000,"bird",61.4814658897678,14,NA,NA,NA,NA,NA,NA,NA,NA,1,"20160901",3600,840,9,0.233333333333333,1,263.491996670433
2016-09-01 23:00:00,"M",1000,"bird",179.490435411481,45,NA,NA,NA,NA,NA,NA,NA,NA,1,"20160901",3600,840,0,0.233333333333333,1,769.244723192062
