"Tint","OperMod","Hint","Class","Eweight","nEcho","meanAzim","sdAzim.Mardia72","sdAzim.Batschelet84","medAzim","meanSpeed","sdSpeed","medSpeed","nFlightBehav","is_night","twilightDate","tstepS","RecS","RainS","RecH","tstepH","mtr"
2016-08-19 08:00:00,"L",775,"birds",0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160819",3600,1140,1138,0.316666666666667,1,0
2016-08-19 08:00:00,"S",775,"birds",0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160819",3600,2280,1738,0.633333333333333,1,0
2016-08-19 09:00:00,"L",775,"birds",0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160819",3600,1140,764,0.316666666666667,1,0
2016-08-19 09:00:00,"S",775,"birds",32.3296107149529,2,64.522,0,0,64.522,3.68248,NA,3.68248,1,0,"20160819",3600,1140,1,0.316666666666667,1,102.093507520904
2016-08-19 10:00:00,"L",775,"birds",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160819",3600,0,NA,0,1,NA
2016-08-19 10:00:00,"S",775,"birds",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160819",3600,0,NA,0,1,NA
2016-08-19 11:00:00,"L",775,"birds",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160819",3600,0,NA,0,1,NA
2016-08-19 11:00:00,"S",775,"birds",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160819",3600,0,NA,0,1,NA
2016-08-19 12:00:00,"L",775,"birds",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160819",3600,0,NA,0,1,NA
2016-08-19 12:00:00,"S",775,"birds",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160819",3600,0,NA,0,1,NA
2016-08-19 13:00:00,"L",775,"birds",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160819",3600,0,NA,0,1,NA
2016-08-19 13:00:00,"S",775,"birds",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160819",3600,0,NA,0,1,NA
2016-08-19 14:00:00,"L",775,"birds",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160819",3600,0,NA,0,1,NA
2016-08-19 14:00:00,"S",775,"birds",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160819",3600,0,NA,0,1,NA
2016-08-19 15:00:00,"L",775,"birds",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160819",3600,0,NA,0,1,NA
2016-08-19 15:00:00,"S",775,"birds",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160819",3600,0,NA,0,1,NA
2016-08-19 16:00:00,"L",775,"birds",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160819",3600,0,NA,0,1,NA
2016-08-19 16:00:00,"S",775,"birds",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160819",3600,0,NA,0,1,NA
2016-08-19 17:00:00,"L",775,"birds",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160819",3600,0,NA,0,1,NA
2016-08-19 17:00:00,"S",775,"birds",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160819",3600,0,NA,0,1,NA
2016-08-19 18:00:00,"L",775,"birds",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160819",3600,0,NA,0,1,NA
2016-08-19 18:00:00,"S",775,"birds",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"20160819",3600,0,NA,0,1,NA
2016-08-19 19:00:00,"L",775,"birds",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"20160819",3600,0,NA,0,1,NA
2016-08-19 19:00:00,"S",775,"birds",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"20160819",3600,0,NA,0,1,NA
2016-08-19 20:00:00,"L",775,"birds",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"20160819",3600,0,NA,0,1,NA
2016-08-19 20:00:00,"S",775,"birds",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"20160819",3600,0,NA,0,1,NA
2016-08-19 21:00:00,"L",775,"birds",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"20160819",3600,0,NA,0,1,NA
2016-08-19 21:00:00,"S",775,"birds",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"20160819",3600,0,NA,0,1,NA
2016-08-19 22:00:00,"L",775,"birds",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"20160819",3600,0,NA,0,1,NA
2016-08-19 22:00:00,"S",775,"birds",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"20160819",3600,0,NA,0,1,NA
2016-08-19 23:00:00,"L",775,"birds",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"20160819",3600,0,NA,0,1,NA
2016-08-19 23:00:00,"S",775,"birds",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"20160819",3600,0,NA,0,1,NA
